"ID","Username","Date","Time","Quote","Hero","Game","Map","Player.Title","Spotted.by","Notes","Year","Month","Day","Hour","Minute"
1,"meJay",NA,NA,"""i punched a child in the throat""","","Overwatch","N/A","N/A","N/A","",NA,NA,NA,NA,NA
2,"verdantJay",NA,NA,"""he was exploding my barrel, over and over again""","","Overwatch","N/A","N/A","N/A","Second evolution?",NA,NA,NA,NA,NA
3,"JAYAIMLESS",2022-09-11,17:23:00,NA,"Genji","Overwatch","Numbani","N/A","Richard","",2022,"Sep","Sun",17,"23"
4,"PEEJ",2022-09-17,16:43:00,NA,"N/A","Overwatch","N/A","N/A","Mac","",2022,"Sep","Sat",16,"43"
5,"JPEG",2022-09-18,18:42:00,NA,"Ana","Overwatch","N/A","N/A","Mac","",2022,"Sep","Sun",18,"42"
6,"lovehollyj",2022-09-18,16:36:00,"""im actually a midget""","N/A","Overwatch","N/A","N/A","Richard","2nd 2023-12-27, 3rd 2024-08-31 New Queen St. 4th 09/11/2024 5th 09/12/2024",2022,"Sep","Sun",16,"36"
7,"THEONLYJDAY",2022-09-19,13:43:00,NA,"Reinhardt","Overwatch","N/A","N/A","Richard","",2022,"Sep","Mon",13,"43"
8,"DeeJay",2022-09-20,13:59:00,"""deejay>mejay"", ""ggs! better jay""","N/A","Overwatch","N/A","N/A","Richard","2nd sighting 2022-09-27. 3rd 2023-09-16, 4th 2023-11-26",2022,"Sep","Tue",13,"59"
9,"TeeJay320",2022-09-22,12:10:00,NA,"Sha Lin","Paladins","N/A","Has seen some things","verdantJay","",2022,"Sep","Thu",12,"10"
10,"JAYTHETRYHARD",2022-09-23,16:20:00,NA,"DVA","Overwatch","Busan","N/A","verdantJay","69% Kill Participation on DVA, ate grav, absolute chad.",2022,"Sep","Fri",16,"20"
11,"IKEAJ",2022-09-24,18:04:00,NA,"N/A","Overwatch","N/A","N/A","Richard","",2022,"Sep","Sat",18,"04"
12,"JBERM",2022-09-26,17:22:00,"""jay berm""","Tracer","Overwatch","N/A","N/A","Richard","",2022,"Sep","Mon",17,"22"
13,"DELIRIOUSJAY",2022-09-27,13:45:00,"""only whispers""","N/A","Overwatch","N/A","N/A","Richard","2nd 2023-12-13",2022,"Sep","Tue",13,"45"
14,"ARJAY",2022-10-01,15:50:00,"""honored to be part of the roster""","N/A","Overwatch","N/A","N/A","Mac","",2022,"Oct","Sat",15,"50"
15,"JREADY",2022-10-01,16:35:00,"""Jay Ready bb""","N/A","Overwatch","N/A","N/A","Richard","",2022,"Oct","Sat",16,"35"
16,"JGarcia",2022-10-02,11:23:00,"""my special move is respawn on cd""","Genji","Overwatch","N/A","N/A","Richard","Confirmed it is ""Jay"" Garcia. 2nd 09Jun2023 Reinkart.",2022,"Oct","Sun",11,"23"
17,"jrod2001",2022-10-02,11:35:00,"""worship the jrod""","N/A","Overwatch","N/A","N/A","Richard","Ana main, rolled him on Blizzard World.",2022,"Oct","Sun",11,"35"
18,"Jboogie",2022-10-02,11:46:00,"""That's it, i'm bringing out my blickie""","Mercy","Overwatch","N/A","N/A","Richard","Pronounced ""Jay Boo ghee"". 2nd sighting 2022-11-08",2022,"Oct","Sun",11,"46"
