"Spotted.by","Total.Jays","Game","Day","Month","Year"
"Total",1239,"Overwatch","Tue","Dec","2024"
"Seb",578,"Overwatch","Thu","Dec","2024"
"Richard",325,"Overwatch","Sun","Sep","2023"
"Vixx",213,"Paladins","Tue","Jun","2024"
"Josiad",44,"Overwatch","Tue","Jan","2024"
"verdantJay",31,"Paladins","Wed","Sep","2024"
"Basileus",12,"Overwatch","Fri","Nov","2023"
"Sqweryl",12,"Overwatch","Fri","Oct","2023"
"Mac",9,"Overwatch","Sun","Oct","2022"
"Marcello",6,"Overwatch","Sun","Dec","2022"
"Asheya",2,"Overwatch","Wed","Jan","2023"
"Despair",2,"Overwatch","Sun","Jul","2023"
"Richard ",1,"Overwatch","Mon","Nov","2024"
