"Map","ID","Username","Date","Time","Quote","Hero","Game","Player.Title","Spotted.by","Notes","Year","Month","Day","Hour","Minute","Map.Type"
"Adlersbrunn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other"
"Antarctic Peninsula",1222,"Drewjaylive",2024-11-14,16:58:00,"N/A","Tracer","Overwatch","Shapeshifter","Seb","Mystery heroes",2024,"Nov","Thu",16,"58","Control"
"Antarctic Peninsula",348,"CrazyJ500",2023-10-29,09:28:00,"""ya thats me""","N/A","Overwatch","Subjugator","Seb","Antarctica, subjugator",2023,"Oct","Sun",9,"28","Control"
"Antarctic Peninsula",201,"YKALEJ",2023-06-02,18:44:00,NA,"N/A","Overwatch","Extraterrestrial","Vixx","Antarctica",2023,"Jun","Fri",18,"44","Control"
"Antarctic Peninsula",148,"ChuphenJ",2023-04-21,13:59:00,NA,"Junkrat","Overwatch","None","Richard","Pariso",2023,"Apr","Fri",13,"59","Control"
"Antarctic Peninsula",693,"Jaybeezy",2024-01-31,16:13:00,"N/A","Mercy","Overwatch","Conqueror","Seb","Chill Kill Custom Cute Mercy icon Endorsement 4 Mitzi and Friends namecard private profile",2024,"Jan","Wed",16,"13","Control"
"Antarctic Peninsula",75,"JDickles",2022-12-17,09:57:00,"extremely tomfoolerous","Ashe","Overwatch","N/A","Richard","2nd sighting 18Dec2022",2022,"Dec","Sat",9,"57","Control"
"Antarctic Peninsula",733,"AGENTAJ",2024-02-16,15:53:00,"N/A","Baptiste","Overwatch","N/A","Richard","SPELLING UNCONFIRMED ",2024,"Feb","Fri",15,"53","Control"
"Antarctic Peninsula",1071,"mat10tj",2024-08-19,12:13:00,"N/A","Lúcio, Ana, Moira","Overwatch","Netbreaker","Seb","QP Ramattra icon Endorsement 3 Trident namecard Ana main",2024,"Aug","Mon",12,"13","Control"
"Antarctic Peninsula",366,"jmbigbullet8",2023-11-06,14:56:00,"""if she if falt. and no cake her mother you shall take""","Ana","Overwatch","None","Richard","Antarctic, no nametag, ana. 2nd 2023-11-09",2023,"Nov","Mon",14,"56","Control"
"Antarctic Peninsula",503,"JTGAMING2255",2023-12-13,07:29:00,"""no""","Moira","Overwatch","Peasant","Seb","Peasant, moira, antarctic peninsula",2023,"Dec","Wed",7,"29","Control"
"Antarctic Peninsula",326,"JJOHHNN1",2023-10-17,17:18:00,NA,"N/A","Overwatch","N/A","Richard","Moira icon, Antarctica, support",2023,"Oct","Tue",17,"18","Control"
"Antarctic Peninsula",357,"NEOARKAIDENJ",2023-11-01,17:30:00,"""gg""","N/A","Overwatch","Rebel","Seb","Rebel, mystery heroes.",2023,"Nov","Wed",17,"30","Control"
"Antarctic Peninsula",946,"Jmartin00",2024-06-20,08:29:00,"N/A","Mercy","Overwatch","Medic","Seb","QP Mercy Mastery icon Endorsement 4 Mercy Mastery namecard Mercy main",2024,"Jun","Thu",8,"29","Control"
"Antarctic Peninsula",262,"J4F",2023-09-12,15:50:00,"""can't read english bruh""","Sojourn","Overwatch","Peasant","Richard","Did not respond to my demands, Antarctic, 2nd 20230926, 3rd 20230927 Nepal",2023,"Sep","Tue",15,"50","Control"
"Antarctic Peninsula",116,"Jay",2023-03-17,13:27:00,"""Nope""","Tracer","Overwatch","Medic","Richard","Did not claim to be the previous Jays on this list.",2023,"Mar","Fri",13,"27","Control"
"Antarctic Peninsula",635,"beatjsrf",2024-01-11,16:22:00,"""jet set radio future"" ""holy shit i'm feeding so hard"" ""thanks"" ""ok i redeemed a bit"" ""u 2 sebbo""","Tracer, Sojourn, Ashe","Overwatch","Treasure Goblin","Seb","Jet variant QP",2024,"Jan","Thu",16,"22","Control"
"Antarctic Peninsula",426,"JTRET54",2023-11-22,11:06:00,NA,"Winston","Overwatch","Mortal","Seb","Mortal, mystery heroes",2023,"Nov","Wed",11,"06","Control"
"Antarctic Peninsula",823,"SparkJD47",2024-04-03,17:21:00,"""Did black guy kill him he's taking all my money""","D.Va","Overwatch","N/A","Seb","Comp Badminton icon Endorsement 3 private profile",2024,"Apr","Wed",17,"21","Control"
"Antarctic Peninsula",1185,"luvjx",2024-09-28,17:12:00,"N/A","Echo,Bastion","Overwatch","Medic","Seb","Comp",2024,"Sep","Sat",17,"12","Control"
"Antarctic Peninsula",549,"BlueJayCAM",2023-12-23,18:35:00,"""who the hell are you bro""","Genji, Ashe, Echo","Overwatch","Butcher","verdantJay","",2023,"Dec","Sat",18,"35","Control"
"Antarctic Peninsula",194,"JayQweezy",2023-05-27,16:28:00,NA,"Mei","Overwatch","World Eater","Vixx","Mei player",2023,"May","Sat",16,"28","Control"
"Antarctic Peninsula",98,"Jyeeva",2023-02-22,14:01:00,"""jay weevy""","N/A","Overwatch","Grandmaster Challenger","Richard","practicing for scrims on antarctica, full tryhard stack, 17Mar2023 Comp mystery heroes, 15May2023 circuit royal, 09Jun2023 Eichenwalde",2023,"Feb","Wed",14,"01","Control"
"Ayutthaya",770,"JxcqkDev",2024-03-06,09:47:00,"N/A","Hanzo","Overwatch","Haunted Shadow","Seb","Chill Kill Custom Sandstorm icon Endorsement 4 Heartbreaker namecard private profile",2024,"Mar","Wed",9,"47","Other"
"Black Forest",160,"Jay70001",2023-05-07,18:08:00,"""noway""","Widowmaker","Overwatch","None","Richard","custom game",2023,"May","Sun",18,"08","Other"
"Blizzard World",383,"JG303",2023-11-15,06:31:00,"""JAY GEEZ NUTS""","Roadhog","Overwatch","N/A","Seb","Deathmatch, hog",2023,"Nov","Wed",6,"31","Hybrid"
"Blizzard World",260,"Jay",2023-09-07,17:02:00,"""bye bye team""","Baptiste","Overwatch","Peasant","Richard","Blizzard world, Peasant, Did not claim to be the previous Jays on this list.",2023,"Sep","Thu",17,"02","Hybrid"
"Blizzard World",491,"JGold",2023-12-11,07:19:00,"""Yo""","N/A","Overwatch","N/A","Seb","Deathmatch blizz world",2023,"Dec","Mon",7,"19","Hybrid"
"Blizzard World",653,"TJPierce",2024-01-16,17:08:00,"""ggs well played everyone <3""","Mercy","Overwatch","Temptation","Seb","QP Nine Tails icon Endorsement 5 Jingle Belle namecard priavete profile, 2nd sighting 2024-04-09, 3rd 2024-06-22",2024,"Jan","Tue",17,"08","Hybrid"
"Blizzard World",274,"KJDXMAMBA",2023-09-21,15:44:00,NA,"Reinhardt","Overwatch","Conquerer","Seb","Rein, Blizzworld, Conqueror",2023,"Sep","Thu",15,"44","Hybrid"
"Blizzard World",204,"JMAN1357",2023-06-05,17:23:00,NA,"N/A","Overwatch","None","Vixx","Blizzard world",2023,"Jun","Mon",17,"23","Hybrid"
"Blizzard World",615,"AlsoJay",2024-01-07,14:48:00,"N/A","Tracer","Overwatch","Neogun","Josiad","",2024,"Jan","Sun",14,"48","Hybrid"
"Blizzard World",1231,"TeeJ",2024-11-23,15:49:00,"N/A","Sojourn","Overwatch","All-Star","Josiad","Different than Teej",2024,"Nov","Sat",15,"49","Hybrid"
"Blizzard World",335,"DESPERADOGPJ",2023-10-21,13:58:00,NA,"Junker Queen","Overwatch","Nomad","Richard","Junkerqueen nomad blizzard world",2023,"Oct","Sat",13,"58","Hybrid"
"Blizzard World",800,"LoLJay",2024-03-27,15:52:00,"""..."" ""I am just gonna dance in the spawn...""","Zarya","Overwatch","Stalwart Hero","Richard","Open Queue, 2nd sighting 2024-03-30, 3rd 2024-04-06",2024,"Mar","Wed",15,"52","Hybrid"
"Blizzard World",477,"JJJ36",2023-12-06,05:05:00,NA,"Cassidy","Overwatch","None","Seb","No name tag, Blizz world, skirmish",2023,"Dec","Wed",5,"05","Hybrid"
"Blizzard World",387,"JAYMAYDAY",2023-11-15,16:29:00,"""i only fly chopper"" ""me reconocieron!""","Wrecking Ball","Overwatch","Star Pilot","Seb","Star Pilot, Ball, Blizzard world, skirmish, 2nd 2023-12-06",2023,"Nov","Wed",16,"29","Hybrid"
"Blizzard World",1008,"JAYHILL",2024-07-31,12:15:00,"N/A","Widowmaker","Overwatch","N/A","Seb","Queue DM Porsche Pharah icon Endorsement 3 Porsche Flight namecard plat 5 Tank Damage gold 1 Support Pharah main",2024,"Jul","Wed",12,"15","Hybrid"
"Blizzard World",573,"zaiderjace",2023-12-29,21:03:00,"N/A","Junkrat","Overwatch","Rogue","Seb","Queue DM Endorsement 5 Shin-Ryeong icon Grand Remains namecard private profile",2023,"Dec","Fri",21,"03","Hybrid"
"Blizzard World",93,"EXOJAY",2023-01-31,18:48:00,"""it's too lit""","N/A","Overwatch","Stalwart Hero","Richard","Respotted 05-Apr-2023 Midtown, 3rd 2023-09-29",2023,"Jan","Tue",18,"48","Hybrid"
"Blizzard World",107,"JayeBot",2023-03-07,16:32:00,NA,"N/A","Overwatch","N/A","Vixx","Blizzard world",2023,"Mar","Tue",16,"32","Hybrid"
"Blizzard World",298,"COLORBLINDJJ",2023-10-05,05:29:00,"""yes i'm actually colorblind""","N/A","Overwatch","Assassin","Seb","Blizzard World, Assassin",2023,"Oct","Thu",5,"29","Hybrid"
"Blizzard World",604,"KJY",2024-01-04,10:50:00,"N/A","Symmetra, Ashe","Overwatch","N/A","Seb","QP",2024,"Jan","Thu",10,"50","Hybrid"
"Blizzard World",459,"CeejTank",2023-11-29,16:06:00,"""you miss 100% of the shots you dont take"" -wayne gretzky - michael scott","N/A","Overwatch","N/A","Basileus","Blizzard world",2023,"Nov","Wed",16,"06","Hybrid"
"Blizzard World",476,"MOJAY",2023-12-06,05:05:00,"""i gotta pee""","Ashe","Overwatch","None","Seb","No name tag, Blizz world, skirmish",2023,"Dec","Wed",5,"05","Hybrid"
"Blizzard World",346,"JTFUR",2023-10-27,16:26:00,NA,"Ashe","Overwatch","Nomad","Vixx","Busan, Ashe, Nomad",2023,"Oct","Fri",16,"26","Hybrid"
